  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           19108                 0                21         1       246             7         34622                 0               372              0            525
           0          202684                 0                21         1        18             1           238                 0                 7              0             23
           1              14                12                17         7        10           229           232                 0                 0              9             11
           2              12                 9                17         9        11           187           190                 0                 1              8             10
           3             712                 6                20         1         6           234           268                 0                 1              5             21
           4               3                12                17         1         2           431           431                 0                 0              8              9
           5               4                20                20        17        17          6891          6891               146               146             29             29
           6               3                14                18         7         8           213           213                 0                 0              6              6
           7               4                 9                17         8         9           175           175                 0                 0              5              6
           8               3                14                15         2         2           277           278                 0                 0              6              7
           9               6                10                13         1         2           354           355                 0                 0             22             24
          10              15                 9                19         5         8           281           282                 0                 0              6             10
          11               4                10                17         1         3           255           255                 0                 0              5              5
          12               7                17                18         7         7           368           369                 0                 1             13             13
          13              12                20                20        44        44          4946          4946                71                71             28             28
          14              53                20                20        20        20          3203          3206                51                51             17             17
          15               3                15                19         9         9           305           305                 0                 0             16             17
          16             387                 6                20         1         5           264           293                 0                 1              7             19
          17               3                11                17         2         2           391           391                 0                 0              8              8
          18              33                10                19         1         5           320           326                 0                 0              7             11
          19               5                10                18         1         2           330           330                 0                 0             11             11
          20               3                 7                14         1         1           289           290                 0                 0             37             38
          21              10                 8                17         1         2           251           254                 0                 0              5              7
          22              10                12                19         4         8           313           315                 0                 0             10             12
          23               4                10                17         8         9           196           196                 0                 0              4              4
          24               5                 5                11        15        17           123           125                 0                 0              1              1
          25               7                15                18         7         8           218           219                 0                 0              5              7
          26               3                17                17        38        38          2164          2164                15                15              2              2
          27              30                 6                19         1         5           268           270                 0                 1              7             12
          28              32                 9                19         1         4           300           302                 0                 2             10             16
          29               6                12                19         4         6           420           422                 0                 0             11             11
          30               3                20                20         7         7           646           647                 7                 7             10             10
          31               5                19                19        14        14          2386          2386                 0                 0             49             49
          32               8                10                19         4         6           255           257                 0                 0             11             13
          33              29                17                18        24        24           435           437                 0                 0              9             10
          34             121                17                17        19        19          2398          2408                30                30             28             30
          35               3                15                16         5         6           195           195                 0                 0              3              3
          36               5                15                19         5         6           284           284                 0                 1              5              6
          37              10                 7                14         1         2           156           158                 0                 0             20             22
          38              16                13                19         6         8           209           211                 0                 0              6              9
          39               4                20                20         5         5          3962          3962                 0                 0             61             61
          40              32                20                20        61        61          5401          5403                92                92             20             20
          41               3                16                18         5         5           476           477                 0                 0              7              8
          42               3                15                19         2         3           376           377                 0                 0              9              9
          43               4                 6                 7         1         1           125           125                 0                 0             24             25
          44              26                 5                16        14        18           105           108                 0                 0              1              3
          45               4                13                17         2         3           435           436                 0                 0             14             14
          46               4                14                16         2         3            86            87                 4                 4              4              4
          47               8                 8                16         1         2           244           246                 0                 0             21             21
          48               3                 7                10         1         1           247           247                 0                 0             28             28
          49               5                14                17        10        11           182           184                 0                 0              3              3
          50               7                 7                17        14        16           117           118                 0                 0              1              3
          51              19                 6                11         1         2            84            90                 0                 0             18             23
          52               4                11                14        21        22           146           147                 0                 0              1              2
          53               3                 7                11         1         1            50            50                 0                 0             18             18
          54              30                18                18        35        35          4274          4276                 0                 0             50             50
          55               3                15                18         4         5           393           394                 0                 0             16             16
          56               7                13                17         6         9           261           262                 0                 0              8              8
          57               6                13                16         2         3           517           519                 0                 0             20             20
          58               3                 9                17         4         4           189           190                 0                 0             15             15
          59               3                16                18         5         5           335           336                 0                 0             11             12
