eps:         1.5
min_samples: 5
Silhouette score including outliers: -0.6473111550919418
Silhouette score excluding outliers: -0.16511184955431216

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           10555                16                21         1       246             0         29378                 0               372              0            408
           0              73                16                21         1         6           224           233                 0                 1              5             13
           1              25                16                19         1         5           255           262                 0                 1             11             14
           2            4284                16                21         1        10            34           219                 0                 3              1             13
           3               5                20                20        17        17          6891          6892               145               146             29             29
           4               8                17                19         7         8           368           369                 0                 2             13             13
           5              12                20                20        44        44          4946          4946                71                71             28             28
           6              53                20                20        20        20          3203          3206                51                51             17             17
           7              11                16                19         4         7           190           192                 0                 1              4              8
           8              12                16                19         2         4           269           271                 0                 2              9             13
           9               5                19                19        14        14          2386          2386                 0                 0             49             49
          10              29                17                18        24        24           435           437                 0                 0              9             10
          11               5                18                18        11        12           655           656                 5                 5              7              7
          12             117                17                17        19        19          2397          2408                30                30             28             30
          13              31                20                20        61        61          5401          5403                92                92             20             20
          14               7                16                17         6         8           181           183                 0                 0              3              5
          15               5                18                18        35        35          4274          4275                 0                 0             50             50
          16              47                16                16        30        30          1658          1659                 0                 0              9             10
          17              23                17                17       123       123          1487          1487                 1                 1              8              8
          18              14                16                19         5        10           191           195                 0                 0              5              8
          19               6                20                20        38        38          2673          2673                 0                 0             19             19
          20              67                16                20         2         6           232           246                 0                 2              5             10
          21              55                16                20         2         5           279           290                 0                 1              8             13
          22              11                20                20        17        17          1107          1107                 4                 4             12             12
          23              12                16                19         2         5           305           309                 0                 1              9             13
          24               7                20                20        16        16          1619          1619                 3                 3             20             20
          25              19                16                18         8        10            91            97                 0                 0              2              5
          26              22                16                19         4         8           276           279                 0                 0              6             10
          27               6                20                20        15        15          7435          7436               194               194             28             28
          28              22                16                19         2         6           272           278                 0                 0              9             12
          29              36                16                19         4         5           702           706                 0                 0             15             16
          30              10                20                20        22        22          3107          3111                54                54              5              6
          31               5                17                17        28        28          4510          4510                 0                 0             30             30
          32               6                16                19         2         4           313           315                 0                 0             11             13
          33              21                20                20        19        19          8219          8220               105               105             20             20
          34               5                20                20        45        45           936           936                 0                 0             14             14
          35              30                19                20         9         9           381           385                 1                 1              5              6
          36              27                20                20        29        29          4418          4422                55                55             13             14
          37               5                16                19         6         7           372           373                 0                 0             13             14
          38              29                16                21         2         6           248           252                 0                 2              8             11
          39              13                16                18         5         8           200           204                 0                 1             10             12
          40              11                16                17         2         3           300           304                 0                 1             11             13
          41               5                18                18        20        20          2901          2901                25                25             51             51
          42              29                16                21         2         5           219           224                 0                 2              6             12
          43               7                17                17        21        21           413           414                 0                 0              9              9
          44               6                17                17        17        17           673           673                 0                 0             16             16
          45              10                16                18         4         6           349           352                 0                 0             13             15
          46               8                16                16        14        14           621           621                 0                 0             17             17
          47              12                16                19         2         6           260           262                 0                 1              7             10
          48               5                20                20        28        28           686           686                 6                 6             11             11
          49               8                16                17         8        10            83            85                 0                 0              3              3
          50              13                19                19        16        16           659           661                 1                 1             13             13
