eps:         10.0
min_samples: 55
Silhouette score including outliers: 0.10339803627555263
Silhouette score excluding outliers: 0.5150378469292566

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5301                16                21         1       246             0         29378                 0               372              0            408
           0           11200                16                21         1        27            23           609                 0                16              1             37
           1              65                20                20        20        27          3197          3218                51                53             10             18
           2             160                16                21         2        20           722           756                 0                10              7             31
           3             131                17                17        19        19          2385          2417                30                30             27             30
           4             304                16                20         1        19           607           669                 0                13              4             29
           5             249                16                21         2        24           669           719                 0                14              4             33
           6              76                18                18        17        17          4561          4583                 8                 8             84             84
           7             103                16                17       121       121           761           779                 3                 4              6              8
           8              83                16                21         2        16           797           821                 0                 9              1             21
           9              98                16                21         3        21          1097          1131                 0                 9             11             34
          10              98                17                20         6        22          1918          1934                 0                 6             30             41
