eps:         3.0
min_samples: 25
Silhouette score including outliers: -0.3927446873161606
Silhouette score excluding outliers: 0.46000377498630296

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           10816                16                21         1       246             0         29378                 0               372              0            408
           0            5447                16                21         1        11            34           238                 0                 5              1             14
           1             157                16                20         1         8           274           292                 0                 3              5             15
           2              60                20                20        20        20          3203          3211                51                51             16             17
           3              29                17                18        24        24           435           437                 0                 0              9             10
           4             113                17                17        19        19          2395          2405                30                30             28             29
           5              32                20                20        61        61          5401          5405                92                92             20             21
           6              47                16                16        30        30          1658          1659                 0                 0              9             10
           7             250                16                21         1         8           240           267                 0                 4              5             15
           8              27                16                18         3         7           525           527                 0                 0             23             26
           9              40                16                19         4         7           698           706                 0                 0             13             16
          10              38                16                20         7        11           380           387                 0                 3              4              8
          11              29                20                20        29        29          4418          4422                55                55             13             15
          12              73                18                18        17        17          4564          4576                 8                 8             84             84
          13              35                19                20        60        60          5138          5144                11                11             32             32
          14              97                16                16       121       121           761           766                 3                 3              6              6
          15              40                19                19        16        16           521           521                 4                 4              6              6
          16              45                17                20        11        11          1113          1119                 0                 1             18             18
          17              34                20                20         9         9          1431          1438                 0                 0             27             28
          18              37                20                20        59        59         17724         17728               238               238             29             30
          19              52                18                18        19        19           518           528                 0                 1              5              5
          20              28                20                20         5         5          2010          2013                 5                 5             45             45
          21              36                17                17        16        16          5285          5290                 0                 0            108            108
          22              85                20                20        21        21          1918          1926                 2                 2             33             34
          23              56                16                20         2         6           267           275                 0                 2              9             15
          24              35                20                20         6         6          1300          1305                 0                 0             17             18
          25              20                16                19         8        11           237           241                 0                 2              6             10
          26              31                18                18         4         4           809           809                 0                 0              5              5
          27              25                17                17        12        12          1317          1322                 0                 0             26             26
          28              27                18                18        17        17           420           427                 2                 2             16             16
          29              27                17                17       123       123          1487          1492                 1                 1              8              9
