eps:         0.5
min_samples: 25
Silhouette score including outliers: -0.2726301022356915
Silhouette score excluding outliers: 1.0

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1           16875                16                21         1       246             0         29378                 0               315              0            408
           0              65                16                20         2        88            58          6026                 0               148              1             61
           1              32                16                20         2        76            67          1917                 0                45              2             34
           2              36                20                20        20        20          3203          3238                51                51             17             17
           3             350                16                21         1        50            34          3635                 0               372              1             99
           4              48                17                18        14        17          4334          5707                 0                 8             63             84
           5              34                16                19         2        10            84           396                 0                 6              3             15
           6              62                16                20         1        25            32          2922                 0                 4              2             43
           7              25                16                19         3        27           112          1042                 0                 4              2             29
           8              32                17                19         3         4            79           536                 0                 0              3             14
           9              32                17                17        19        19          2362          2407                28                30             28             29
          10              25                16                20         2        29            52          1612                 0                 5              3             24
          11              65                16                16       119       121           737           779                 3                 4              6              8
          12              26                16                20         6        14           122          1426                 1                 1              3             24
          13              25                17                17        16        16          5094          5295                 0                 0            103            108
          14              25                16                19         4        13            82           481                 0                 3              4             14
          15              33                16                18        18        19           457           535                 0                 1              4              5
          16              47                20                20        21        21          1867          1933                 2                 2             29             34
          17              31                18                18         4         4           809           809                 0                 0              5              5
