eps:         1.5
min_samples: 20
Silhouette score including outliers: 0.03895884118559763
Silhouette score excluding outliers: 0.12982392679630125

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            5454                16                21         1       172             0         29378                 0               240              0            367
           0           12040                16                21         1       246            22         27308                 0               372              1            408
           1              43                17                17        20        24           296           619                 0                 0              7             12
           2              38                16                20         3        76           119         10186                 0               137             10             80
           3              20                16                18         1        10            44           426                 0                 3              3             15
           4              25                17                19         3         5            45           181                 0                 0              4             18
           5              33                19                20        60        60          4802          5157                10                11             21             32
           6              23                19                21        24        29          3159          4442                41                55              8             14
           7              23                20                20        29        31          1649          3413                 2                14             12             15
           8              22                16                19         3        11           353           722                 0                 0              5             23
           9              44                16                20         2        54           190          5626                 0                25             11             99
          10              50                16                18         2        19            50           535                 0                 3              4              5
          11              24                18                20         7        57           831          9725                 0                55             13             82
          12              29                19                19         5         6           282           837                 0                 0              9             24
