eps:         9.0
min_samples: 15
Silhouette score including outliers: -0.5588628749451977
Silhouette score excluding outliers: -0.27838931373736714

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            7847                16                21         1       246             0         29378                 0               372              0            408
           0            7246                16                21         1        25            23           614                 0                 0              2             36
           1              52                16                21         2        11           218           241                 1                 1              6             12
           2              15                20                20        44        44          4944          4950                71                71             28             28
           3              62                20                20        20        20          3197          3218                51                51             17             17
           4             377                16                20         1        15            62           192                 1                 1              3             16
           5              34                17                19        15        24           430           445                 0                 0              9             11
           6             131                17                17        19        19          2385          2417                30                30             27             30
           7              33                20                20        61        61          5401          5411                92                92             20             20
           8              98                16                21         2        19           718           752                 0                 0             14             30
           9             117                16                20         2        17           617           673                 0                 0             13             27
          10              48                16                16        30        30          1654          1662                 0                 0              9              9
          11              26                17                17       123       123          1487          1492                 1                 1              8              8
          12              86                16                20         2        21           674           709                 0                 0             17             30
          13              16                20                20        17        17          1103          1111                 4                 4             12             12
          14              51                16                19         2        16           690           714                 0                 0             13             19
          15              15                16                18         3        14           221           236                 0                 0              4              4
          16              22                20                20        19        19          8219          8222               105               105             20             20
          17              31                17                20         9        13           378           391                 1                 1              6              6
          18              43                20                20        29        29          4414          4430                55                55             13             13
          19              15                20                20        59        59         17658         17664               236               236             29             29
          20              16                19                19        16        17           659           666                 1                 1             12             13
          21             104                16                19         1        10            71           123                 3                 4              3              7
          22              23                17                20         1        14           167           182                 2                 2              5              8
          23              27                16                20         2        11           818           843                 0                 0             21             31
          24              15                20                20         9        17           393           397                 5                 5              8              8
          25              76                18                18        17        17          4561          4583                 8                 8             84             84
          26              15                20                20        19        19          2488          2493                11                11             49             49
          27              28                17                20        14        17          1126          1152                 0                 0             17             19
          28              36                19                20        60        60          5138          5149                11                11             32             32
          29             100                16                17       121       121           761           775                 3                 3              6              6
          30              33                17                20         3        13          1317          1331                 0                 0             24             27
          31              19                16                18         2         7           130           143                 3                 3              3              3
          32              40                16                19         2        11           128           152                 2                 2              4              8
          33              48                16                19         2        17           228           254                 2                 2              5             12
          34              44                19                19        16        16           521           535                 4                 4              6              6
          35              22                19                20         4        10           459           475                 8                 9              9             11
          36              46                20                20        11        11          1113          1122                 1                 1             18             19
          37              15                20                20        26        26          4942          4958               102               102             16             16
          38              40                18                20         8        19          1424          1443                 0                 0             26             32
          39              17                16                20         2         8           437           442                 1                 1             16             21
          40              38                20                20        59        59         17724         17735               238               238             29             29
          41              52                18                18        19        19           518           535                 0                 0              5              5
          42              31                20                20         5         5          2003          2018                 5                 5             45             46
          43              27                16                21         2         9           240           254                 1                 1              8             15
          44               9                16                19         2        16           182           188                 2                 2              5              6
          45              26                16                18         8        12           467           490                 4                 4             13             15
          46              19                16                19        11        11           524           534                 1                 1              9             10
          47              19                16                20        14        19          1156          1164                 0                 0             21             23
          48              39                17                17        16        16          5285          5301                 0                 0            108            108
          49              87                20                20        21        21          1918          1933                 2                 2             33             34
          50              22                16                18         2        11           839           857                 0                 0             30             45
          51              29                19                19        14        14          3190          3202                 0                 0             47             49
          52              16                17                19         4        11           748           764                 0                 0             12             15
          53              21                20                20        14        14          1787          1795                20                20             25             25
          54               8                17                20         7        18           669           680                 0                 0             13             16
          55              22                16                20         1        10           753           769                 0                 0             20             32
          56             127                16                18         2        10            87           102                 0                 0              1              1
          57              36                20                20         6         6          1300          1309                 0                 0             17             18
          58              22                20                20        11        11          3529          3547                54                54             13             13
          59              31                18                18         4         4           809           809                 0                 0              5              5
          60              28                18                18        17        17           420           433                 2                 2             16             16
          61              15                16                19         4         5           272           286                 6                 6              8             11
          62              15                17                17        22        22          2640          2649                29                29              4              4
