eps:         9.5
min_samples: 10
Silhouette score including outliers: 0.20693073066002565
Silhouette score excluding outliers: 0.4555639010729306

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            3168                16                21         1       246             0         29378                 0               372              0            408
           0           12928                16                21         1        35            16           966                 0                18              1             50
           1             102                16                21         1        21           974          1041                 0                12              4             38
           2              15                20                20        44        44          4944          4950                71                71             28             28
           3              64                20                20        20        20          3197          3218                51                51             16             18
           4              16                20                20        26        26          4942          4958               100               102             15             16
           5              48                16                20         3        20          1311          1335                 0                 4             19             37
           6             131                17                17        19        19          2385          2417                30                30             27             30
           7              36                20                20        61        61          5401          5411                92                92             20             21
           8              13                20                20        19        19          2305          2328                 2                 2             15             15
           9              52                16                20        28        31          1649          1670                 0                 2              9             15
          10              29                17                19       123       123          1487          1500                 1                 1              8              9
          11             208                16                21         3        27          1098          1176                 0                10             11             40
          12              14                20                20        22        22          3093          3117                54                54              4              6
          13              22                20                20        19        19          8219          8222               105               105             20             20
          14              56                20                20        29        29          4414          4444                55                55             13             15
          15              63                16                20         5        19          1419          1448                 0                 7             24             35
          16              15                20                20        59        59         17658         17664               236               236             29             29
          17              13                17                20         3        14          1214          1231                 0                 4             33             43
          18              12                17                18         3         5          1111          1123                 0                 0             73             78
          19              14                19                19        64        64          7405          7416                 1                 1             99             99
          20              76                18                18        17        17          4561          4583                 8                 8             84             84
          21              32                16                20         3        17          1050          1072                 0                 8             11             34
          22              15                20                20        19        19          2488          2493                11                11             49             49
          23              10                17                21        10        21          1220          1236                 0                 5             21             29
          24              36                19                20        60        60          5138          5149                11                11             32             32
          25              10                17                17        19        19          1946          1953                26                26             27             27
          26             103                16                17       121       121           761           779                 3                 4              6              8
          27              13                20                20        27        27          1895          1910                18                19             27             27
          28              12                20                20        33        33          3255          3264                48                48             19             19
          29             104                17                20         5        22          1918          1941                 0                 6             30             45
          30              11                16                17         2         2          1921          1930                 0                 0             52             54
          31              12                20                20        29        29          3413          3413                14                14             12             12
          32              11                21                21        18        18          4361          4364                55                55             22             22
          33              10                20                20        31        31          2591          2596                 5                 6             15             15
          34              10                19                19        55        55          7846          7846                88                88             10             10
          35              33                16                20         2        18          1076          1094                 0                 7             13             37
          36              25                16                20         3        17          1269          1297                 0                 6             16             36
          37              41                20                20        59        59         17724         17739               238               238             29             30
          38              33                17                20         3        10          2001          2018                 0                 5             40             46
          39              40                17                17        16        16          5276          5301                 0                 0            107            108
          40              12                16                20         9        15          1544          1561                 0                12             22             33
          41              10                19                19        70        70          5201          5212               158               158             22             23
          42              29                19                19        14        14          3190          3202                 0                 0             47             49
          43              19                17                17        22        23          2638          2649                26                29              2              5
          44              21                20                20        14        14          1787          1795                20                20             25             25
          45              14                16                20        18        29          1692          1710                 0                 5             37             42
          46              11                18                20        11        18          1056          1069                12                20              4             13
          47              13                20                20        11        11          3491          3507                54                54             11             14
          48              26                20                20        11        11          3520          3547                54                54             12             15
          49              37                16                20         6         6          1300          1316                 0                 0             11             18
          50              10                16                21         6        16          1242          1249                 0                 7             22             35
          51              10                20                20        20        21          2659          2667                26                26             19             20
