eps:         8.0
min_samples: 20
Silhouette score including outliers: -0.5611009399640678
Silhouette score excluding outliers: -0.2127921434836038

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            8994                16                21         1       246             0         29378                 0               372              0            408
           0            6523                16                21         1        21            28           495                 0                 0              2             30
           1              42                16                21         2        11           220           235                 1                 1              6             11
           2              49                16                19         2        10           554           588                 0                 0             21             35
           3             154                16                21         1        15           503           545                 0                 0             11             35
           4              62                20                20        20        20          3197          3218                51                51             17             17
           5              94                16                19         1        11           110           142                 1                 1              4             10
           6              36                16                19        15        24           424           445                 0                 0              9             11
           7             130                17                17        19        19          2385          2413                30                30             27             30
           8              22                16                18         2        17           177           189                 0                 0              3              3
           9              33                20                20        61        61          5401          5411                92                92             20             20
          10              66                16                20         2        16           722           748                 0                 0             16             27
          11             112                16                20         1        10            73           109                 1                 1              3              9
          12              48                16                16        30        30          1654          1662                 0                 0              9              9
          13              26                17                17       123       123          1487          1492                 1                 1              8              8
          14              38                16                20         2        21           670           688                 0                 0             17             29
          15              47                16                19         2        14           695           712                 0                 0             13             16
          16              22                20                20        19        19          8219          8222               105               105             20             20
          17              31                17                20         9        13           378           391                 1                 1              6              6
          18              39                20                20        29        29          4414          4428                55                55             13             13
          19              43                16                19         2        11           687           703                 0                 0             19             27
          20              87                16                19         1        10            85           123                 3                 3              3              7
          21              76                18                18        17        17          4561          4583                 8                 8             84             84
          22              26                17                20        14        17          1131          1152                 0                 0             17             19
          23              36                19                20        60        60          5138          5149                11                11             32             32
          24              99                16                17       121       121           761           771                 3                 3              6              6
          25              39                16                19         1        12           162           178                 1                 1              7             12
          26              31                16                20         2        12           589           607                 0                 0             14             21
          27              30                17                20         9        13          1317          1331                 0                 0             25             27
          28              44                19                19        16        16           521           535                 4                 4              6              6
          29              46                20                20        11        11          1113          1122                 1                 1             18             19
          30              39                18                20         9        19          1424          1443                 0                 0             26             32
          31              38                20                20        59        59         17724         17735               238               238             29             29
          32              52                18                18        19        19           518           535                 0                 0              5              5
          33              31                20                20         5         5          2003          2018                 5                 5             45             46
          34              25                16                18         8        12           471           490                 4                 4             13             15
          35              39                17                17        16        16          5285          5301                 0                 0            108            108
          36              86                20                20        21        21          1918          1929                 2                 2             33             34
          37              29                19                19        14        14          3190          3202                 0                 0             47             49
          38              14                16                20         2        10           511           521                 0                 0             11             15
          39              20                19                20         6        10           462           475                 8                 9             10             11
          40              21                20                20        14        14          1787          1795                20                20             25             25
          41              28                16                20         2        10           145           157                 1                 1              5              8
          42             125                16                18         2         3            93           102                 0                 0              1              1
          43              36                20                20         6         6          1300          1309                 0                 0             17             18
          44              28                16                19         5        15           629           641                 0                 0             16             23
          45              22                20                20        11        11          3529          3547                54                54             13             13
          46              31                18                18         4         4           809           809                 0                 0              5              5
          47              28                18                18        17        17           420           433                 2                 2             16             16
          48              18                16                19         3        13           554           567                 0                 0             15             21
          49              12                16                19         3        10           544           551                 0                 0             17             23
          50              21                16                20         4        19           196           209                 0                 0              4              4
