eps:         8.5
min_samples: 10
Silhouette score including outliers: 0.20587561750629332
Silhouette score excluding outliers: 0.28875537591708145

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            1239                16                21         1       181           116         27308                 0               291              1            305
           0           15322                16                21         1       246             0         29378                 0               372              0            408
           1              20                16                21         8        22           226          7081                 4               146              1             30
           2             124                16                21         4        70           347          8109                 6               113              2             50
           3              86                16                20         9        61          1013          8388                18               124              4             34
           4              17                18                21         5        53           359          1464                 1                 4              5             22
           5              13                20                20        19        19          2305          2328                 2                 2             15             15
           6              12                18                20        11        44           868           891                 1                 1             18             20
           7              26                17                17       123       123          1487          1492                 1                 1              8              8
           8              26                17                20         7        29           543          1649                 2                 6              6             21
           9              10                20                20        22        22          3101          3117                54                54              5              5
          10              31                16                21         2        26           474          3376                 1                 7              9             80
          11              23                20                20        19        19          8219          8234               105               105             20             20
          12              23                18                20         6        26           600          4973                15               102              2             16
          13              12                16                20         7        46           226          3230                 1                14              3             38
          14              60                17                21         3        29           661          4547                 8                55              2             13
          15             100                17                20         4        59           557          4654                 1                 8              9             86
          16              19                16                20         3       121           244          4132                 1                16              3             46
          17              57                20                20        59        59         17658         17769               236               238             29             29
          18              16                19                19        16        17           659           666                 1                 1             12             13
          19              10                17                19         5        17           610          4221                 5                35              2             14
          20              14                19                19        64        64          7405          7416                 1                 1             99             99
          21              12                17                19         4        16           308          1281                 5                24              2              8
          22              16                17                20         4        46           287          4984                 3                50              2             34
          23              37                19                20        60        60          5123          5149                11                11             31             32
          24             101                16                17        10       121           255           775                 1                 3              2              6
          25              24                16                20         3        25           129          2592                 3                57              1             19
          26              18                16                21         6        40           408          4364                 5                55              2             22
          27              16                20                20        29        29          3379          3413                14                14             12             12
          28              10                19                19        55        55          7846          7846                88                88             10             10
          29              46                20                20        11        11          1113          1122                 1                 1             18             19
          30              28                16                20         2        16           437           881                 1                 2             12             29
          31              21                16                20         7        39           216          6437                 1                32              2             55
          32              15                18                20         6        27           320          2710                 1                 8              4             31
          33              28                16                20         2        18           516          4295                 1                 8              9             76
          34              13                16                20         4        76           255          8139                 2                59              2             66
          35              88                20                20        21        21          1918          1934                 2                 2             33             34
          36              15                16                20         4        70           221          5212                10               158              1             23
          37              16                16                17        22        22          2623          2649                29                29              4              4
          38              12                16                20         9        33           563          1959                 3                10              4             14
          39              10                16                18         7       113           261          5526                 0                 0              1             22
          40              10                20                20        25        25          1698          1710                 1                 1             37             37
          41              17                18                20         7        39           758          7641                 1                10             13            144
          42              15                16                20         3        79           287         15558                 0                 0              1             54
          43              11                19                20        13        29          1414          4601                17                56              5             16
          44              11                17                20         6        20           448           906                 1                 2             10             27
          45               8                17                19         3        22           507          1545                 1                 3             10             29
          46              10                16                20         6        67           528         13217                13               315              2             51
